VD0T;1500 м;Миля;3000 м;2 мили;5000 м;10000 м;15000 м;Полумарафон;Марафон
48;0:05:36;0:06:03;0:11:58;0:12:55;0:20:39;0:42:50;1:05:53;1:34:53;3:17:29
49;0:05:30;0:05:56;0:11:45;0:12:41;0:20:18;0:42:04;1:04:44;1:33:12;3:14:06
50;0:05:24;0:05:50;0:11:33;0:12:28;0:19:57;0:41:21;1:03:36;1:31:35;3:10:49
51;0:05:18;0:05:44;0:11:21;0:12:15;0:19:36;0:40:39;1:02:31;1:30:02;3:07:39
52;0:05:13;0:05:38;0:11:09;0:12:02;0:19:17;0:39:59;1:01:29;1:28:31;3:04:36
53;0:05:07;0:05:32;0:10:58;0:11:50;0:18:58;0:39:20;1:00:28;1:27:04;3:01:39
54;0:05:02;0:05:27;0:10:47;0:11:39;0:18:40;0:38:42;0:59:30;1:25:40;2:58:47
55;0:04:57;0:05:21;0:10:37;0:11:28;0:18:22;0:38:06;0:58:33;1:24:18;2:56:01
56;0:04:53;0:05:16;0:10:27;0:11:17;0:18:05;0:37:31;0:57:39;1:23:00;2:53:20
57;0:04:48;0:05:11;0:10:17;0:11:06;0:17:49;0:36:57;0:56:46;1:21:43;2:50:45
58;0:04:44;0:05:06;0:10:08;0:10:56;0:17:33;0:36:24;0:55:55;1:20:30;2:48:14
59;0:04:39;0:05:02;0:09:58;0:10:46;0:17:17;0:35:52;0:55:06;1:19:18;2:45:47
60;0:04:35;0:04:57;0:09:50;0:10:37;0:17:03;0:35:22;0:54:18;1:18:09;2:43:25
61;0:04:31;0:04:53;0:09:41;0:10:27;0:16:48;0:34:52;0:53:32;1:17:02;2:41:08
62;0:04:27;0:04:49;0:09:33;0:10:18;0:16:34;0:34:23;0:52:47;1:15:57;2:38:54
63;0:04:24;0:04:45;0:09:25;0:10:10;0:16:20;0:33:55;0:52:03;1:14:54;2:36:44
64;0:04:20;0:04:41;0:09:17;0:10:01;0:16:07;0:33:28;0:51:21;1:13:53;2:34:38
65;4:16:00;0:04:37;0:09:09;0:09:53;0:15:54;0:33:01;0:50:40;1:12:53;2:32:35
66;0:04:13;0:04:33;0:09:02;0:09:45;0:15:42;0:32:35;0:50:00;1:11:56;2:30:36
67;0:04:10;0:04:30;0:08:55;0:09:37;0:15:29;0:32:11;0:49:22;1:11:00;2:28:40
68;0:04:06;0:04:26;0:08:48;0:09:30;0:15:18;0:31:46;0:48:44;1:10:05;2:26:47
69;0:04:03;0:04:23;0:08:41;0:09:23;0:15:06;0:31:23;0:48:08;1:09:12;2:24:57
70;0:04:00;0:04:19;0:08:34;0:09:16;0:14:55;0:31:00;0:47:32;1:08:21;2:23:10
71;0:03:57;0:04:16;0:08:28;0:09:09;0:14:44;0:30:38;0:46:58;1:07:31;2:21:26
72;0:03:54;0:04:13;0:08:22;0:09:02;0:14:33;0:30:16;0:46:24;1:06:42;2:19:44
73;0:03:52;0:04:10;0:08:16;0:08:55;0:14:23;0:29:55;0:45:51;1:05:54;2:18:05
74;0:03:49;0:04:07;0:08:10;0:08:49;0:14:13;0:29:34;0:45:19;1:05:08;2:16:29
75;0:03:46;0:04:04;0:08:04;0:08:43;0:14:03;0:29:14;0:44:48;1:04:23;2:14:55
76;0:03:44;0:04:02;0:07:58;0:08:37;0:13:54;0:28:55;0:44:18;1:03:39;2:13:23
77;0:03:41;0:03:58;0:07:53;0:08:31;0:13:44;0:28:36;0:43:49;1:02:56;2:11:54
78;0:03:38.8;0:03:56.2;0:07:48;0:08:25;0:13:35;0:28:17;0:43:20;1:02:15;2:10:27
79;0:03:36.5;0:03:53.7;0:07:43;0:08:20;0:13:26;0:27:59;0:42:52;1:01:34;2:09:02
80;0:03:34.2;0:03:51.2;0:07:37.5;0:08:14.2;0:13:17.8;0:27:41.2;0:42:25;1:00:54;2:07:38
81;0:03:31.9;0:03:48.7;0:07:32.5;0:08:08.9;0:13:09.3;0:27:24;0:41:58;1:00:15;2:06:17
82;0:03:29.7;0:03:46.4;0:07:27.7;0:08:03.7;0:13:01.1;0:27:07;0:41:32;0:59:38;2:04:57
83;0:03:27.6;0:03:44;0:07:23;0:07:58.6;0:12:53.0;0:26:51;0:41:06;0:59:01;2:03:40
84;0:03:25.5;0:03:41.8;0:07:18.5;0:07:53.6;0:12:45.2;0:26:34;0:40:42;0:58:25;2:02:24
85;0:03:23.5;0:03:39.6;0:07:14;0:07:48.8;0:12:37.4;0:26:19;0:40:17;0:57:50;2:01:10
